Contestant,M?,F?,Season,Idols found,Idols held,Idols played,Votes voided,Boot avoided,Tie avoided,Day found,Day played,Notes
Tony Vlachos,1,,S28,3,3,2,0,,,6,19,First regular idol; played for LJ at the merge; zero votes voided
LJ McKanas,1,,S28,1,1,1,0,,,7,19,"LJ played his idol for Tony at the merge, zero votes voided"
Spencer Bledsoe,1,,S28,1,1,1,0,,,20,28,
John Rocker,1,,S29,1,1,0,0,,,6,,Blindsided with idol in pocket
Keith Nale,1,,S29,1,1,1,3,1,,9,26,"First play: 5-4 majority, vote is split 3 on Keith, 2 on Wes, vs. minority's 4 on Jon. Jon & Keith play idols, Keith saves himself, but Wes booted."
Jon Misch,1,,S29,2,2,1,4,1,,19,26,"First play: 5-4 majority, vote is split 3 on Keith, 2 on Wes, vs. minority's 4 on Jon. Jon & Keith play idols, Wes booted. Jon later voted out holding his 2nd idol."
Natalie Anderson,,1,S29,1,1,1,3,1,,25,37,"Natalie played her idol for Jaclyn, meaning Baylor got the boot instead; no vote split."
Carolyn Rivera,,1,S30,1,1,1,5,1,,2,35,"Found circa day 1, played for herself, saving herself"
Jenn Brown,,1,S30,1,1,1,7,1,,9,19,"No real vote split (7 for Jenn, 1 for Hali) vs. 4 for Kelly; Jenn played for herself, saving herself; Kelly booted instead."
Mike Holloway,1,,S30,1,1,1,4,1,,21,32,"No vote split; 4 votes for Mike vs. 3 for Tyler; Mike played for himself, saving himself, booting Tyler"
Kelley Wentworth,,1,S31,2,2,2,9,1,,3,21,"No vote split; 9 for Kelley, 3 for Savage, Kelley played for herself, saving herself, Savage booted."
Jeremy Collins,1,,S31,2,2,2,5,1,,9,26,"First play: Poor vote split, (5 for Stephen, 2 for Kimmi) vs. 3 for Ciera; Jeremy played for Stephen, saving Stephen & booting Ciera."
Tai Trang,1,,S32,1,2,0,0,,,7,,"Briefly held Jason's idol as well as his own, then gave Jason's back. Never played his own idol."
Kyle Jason,1,,S32,1,1,0,0,,,7,,"Gave his idol to Scot, who was voted out while holding it."
Neal Gottlieb,1,,S32,1,1,0,0,,,12,,Medevacced with idol in his pocket
Scot Pollard,,,S32,0,1,0,0,,,,,(Left the game with Jason's idol in his pocket)
Jessica Lewis,,1,S33,1,1,0,0,,,1,,"Legacy advantage, willed to Ken McNickle"
David Wright,1,,S33,2,2,2,5,1,,5,12,"David plays his first idol for Jessica, saving her from the boot (voids 5 votes)"
Adam Klein,1,,S33,2,2,2,4,,,11,33,"Adam plays his idol for Hannah (4 votes voided), although Will defects, so she wouldn't have been booted"
Jay Starrett,1,,S33,1,1,1,1,,,16,35,"Played his idol for himself, voiding 1 vote"
Ken McNickle,,,S33,0,1,1,1,,,,36,"Legacy Advantage, from Jessica; had to play for himself"
Sierra Thomas ,,1,S34,1,1,,,,,1,32,"Legacy advantage, willed to Sarah, Day 32"
Troyzan Robertson,1,,S34,1,1,1,0,,,9,36,"F6 Tribal: Plays for himself, voids zero votes"
