contestant,age,city,state_abbr,season,finish,tribalChallengeWins,individualChallengeWins,totalWins,daysLasted,votesAgainst,iconPictureURL,gender,occupation,fullPictureURL,season_number
Linda Spencer,44,Boston,MA,Africa,13,4,NA,4,12,4,https://vignette.wikia.nocookie.net/survivor/images/1/1b/S3_linda_t.png/revision/latest?cb=20180526000052,Female,Career Counselor,https://vignette.wikia.nocookie.net/survivor/images/d/dc/S3_Linda_Spencer.jpg/revision/latest?cb=20120609054944,3
Silas Gaither,23,Los Angeles,CA,Africa,12,5,NA,5,15,8,https://vignette.wikia.nocookie.net/survivor/images/0/04/S3_silas_t.png/revision/latest?cb=20181029230302,Male,Bartender,https://vignette.wikia.nocookie.net/survivor/images/7/7c/S3_Silas_Gaither.jpg/revision/latest?cb=20120609055110,3
Lindsey Richter,26,Portland,OR,Africa,11,6,NA,6,18,12,https://vignette.wikia.nocookie.net/survivor/images/e/e2/S3_lindsey_t.png/revision/latest?cb=20180526000052,Female,Advertising Executive,https://vignette.wikia.nocookie.net/survivor/images/5/56/S3_Lindsey_Richter.jpg/revision/latest?cb=20120609055148,3
Clarence Black,24,Detroit,MI,Africa,10,5,0,5,21,12,https://vignette.wikia.nocookie.net/survivor/images/0/0f/S3_clarence_t.png/revision/latest?cb=20180526000047,Male,Basketball Coach,https://vignette.wikia.nocookie.net/survivor/images/4/45/S3_Clarence_Black.jpg/revision/latest?cb=20120609055222,3
Kelly Goldsmith,22,San Diego,CA,Africa,9,5,0,5,24,5,https://vignette.wikia.nocookie.net/survivor/images/c/ca/S3_kelly_t.png/revision/latest?cb=20180526000050,Female,Behavioral Research Analyst,https://vignette.wikia.nocookie.net/survivor/images/8/81/S3_Kelly_Goldsmith.jpg/revision/latest?cb=20120609055259,3
Brandon Quinton,25,Dallas,TX,Africa,8,6,1,7,27,6,https://vignette.wikia.nocookie.net/survivor/images/e/e4/S3_brandon_t.png/revision/latest?cb=20180526000046,Male,Bartender,https://vignette.wikia.nocookie.net/survivor/images/9/99/S3_Brandon_Quinton.jpg/revision/latest?cb=20120609055425,3
Frank Garrison,43,Odessa,NY,Africa,7,6,1,7,30,9,https://vignette.wikia.nocookie.net/survivor/images/7/7d/S3_frank_t.png/revision/latest?cb=20180526000049,Male,Telephone Technician,https://vignette.wikia.nocookie.net/survivor/images/d/d2/S3_Frank_Garrison.jpg/revision/latest?cb=20120609055502,3
Kim Powers,29,Conshohocken,PA,Africa,6,6,0,6,33,4,https://vignette.wikia.nocookie.net/survivor/images/b/bf/S3_kimp_t.png/revision/latest?cb=20180526000051,Female,Freelance Marketer,https://vignette.wikia.nocookie.net/survivor/images/a/a9/S3_Kim_Powers.jpg/revision/latest?cb=20120609055533,3
Teresa Cooper,42,Jackson,GA,Africa,5,6,1,7,36,4,https://vignette.wikia.nocookie.net/survivor/images/8/8b/S3_teresa_t.png/revision/latest?cb=20180526000054,Female,Flight Attendant,https://vignette.wikia.nocookie.net/survivor/images/6/6d/S3_Teresa_Cooper.jpg/revision/latest?cb=20120609055603,3
Tom Buchanan,45,Rich Valley,VA,Africa,4,5,1,6,37,9,https://vignette.wikia.nocookie.net/survivor/images/8/82/S3_tom_t.png/revision/latest?cb=20180526000054,Male,Goat Farmer,https://vignette.wikia.nocookie.net/survivor/images/7/77/S8_Tom_Buchanan.jpg/revision/latest?cb=20120611065018,3
Lex van den Berghe,38,Santa Cruz,CA,Africa,3rd,5,5,10,38,10,https://vignette.wikia.nocookie.net/survivor/images/2/2f/S3_lex_t.png/revision/latest?cb=20180526000051,Male,Marketing Manager,https://vignette.wikia.nocookie.net/survivor/images/b/be/S8_Lex_van_den_Berghe.jpg/revision/latest?cb=20120611064118,3
Kim Johnson,56,Oyster Bay,NY,Africa,2,5,2,7,39,1,https://vignette.wikia.nocookie.net/survivor/images/d/da/S3_kimj_t.png/revision/latest?cb=20180526000050,Female,Retired Teacher,https://vignette.wikia.nocookie.net/survivor/images/1/1b/S3_Kim_Johnson.jpg/revision/latest?cb=20120609055854,3
Ethan Zohn,27,New York City,NY,Africa,1,5,2,7,39,0,https://vignette.wikia.nocookie.net/survivor/images/f/fd/S3_ethan_t.png/revision/latest?cb=20180526000048,Male,Professional Soccer Player,https://vignette.wikia.nocookie.net/survivor/images/5/58/S8_Ethan_Zohn.jpg/revision/latest?cb=20120611063707,3
Peter Harkey,45,Millis,MA,Marquesas,16,0,NA,0,3,5,https://vignette.wikia.nocookie.net/survivor/images/d/dd/S4_peter_t.png/revision/latest?cb=20180526005654,Male,Bowling Alley Owner,https://vignette.wikia.nocookie.net/survivor/images/e/ea/S4_Peter_Harkey.jpg/revision/latest?cb=20120609060338,4
