contestant,age,city,state_abbr,season.x,finish,tribalChallengeWins,individualChallengeWins,totalWins,daysLasted,votesAgainst,gender,occupation,season_number,idols_found,idols_played
Caleb Bankston,26,Collinsville,AL,Blood vs. Water,9,3,0,3,30,4,Male,Post Office Manager/Farmer,27,NA,NA
Katie Collins,25,New York City,NY,Blood vs. Water,8,1,1,2,33,4,Female,Hedge Fund Support,27,NA,NA
Hayden Moss,27,Springtown,TX,Blood vs. Water,7,3,0,3,36,8,Male,Real Estate,27,NA,NA
Laura Morett,43,Salem,OR,Blood vs. Water,6,4,6,10,36,19,Female,"Office Manager;
Fitness Instructor",27,NA,NA
Ciera Eastin,24,Salem,OR,Blood vs. Water,5,3,1,4,37,14,Female,Cosmetology Student,27,NA,NA
Tina Wesson,52,Robbinsville,NC,Blood vs. Water,4,4,5,9,38,10,Female,Personal Nurse; Motivational Speaker,27,NA,NA
Gervase Peterson,43,Philadelphia,PA,Blood vs. Water,3,6,1,7,39,6,Male,YMCA Basketball Coach; Cigar Lounge Owner,27,0,0
Monica Culpepper,42,Tampa,FL,Blood vs. Water,2,4,3,7,39,6,Female,"Ex-NFL Player's Wife;
Homemaker",27,NA,NA
Tyson Apostol,34,Provo,UT,Blood vs. Water,1,6,2,8,39,2,Male,"Former Professional Cyclist/Missionary
Shop Manager",27,2,2
David Samson,45,Plantation,FL,Cagayan,18,0,NA,0,3,4,Male,Miami Marlins President,28,NA,NA
Garrett Adelstein,27,Santa Monica,CA,Cagayan,17,0,NA,0,6,3,Male,Pro Poker Player,28,1,0
Brice Johnston,27,Philadelphia,PA,Cagayan,16,2,NA,2,8,5,Male,Social Worker,28,NA,NA
J'Tia Taylor,31,Chicago,IL,Cagayan,15,1,NA,1,11,7,Female,Nuclear Engineer,28,NA,NA
Cliff Robinson,46,Newark,NJ,Cagayan,14,6,NA,6,14,4,Male,Former NBA All-Star,28,NA,NA
Lindsey Ogle,29,Kokomo,IN,Cagayan,13,6,NA,6,14,0,Female,Hairstylist,28,NA,NA
Alexis Maxwell,21,Addison,IL,Cagayan,12,5,NA,5,16,8,Female,Student,28,NA,NA
Sarah Lacina,29,Cedar Rapids,IA,Cagayan,11,6,0,6,19,6,Female,Police Officer,28,NA,NA
Morgan McLeod,21,San Jose,CA,Cagayan,10,5,1,6,22,8,Female,Ex-NFL Cheerleader,28,NA,NA
LJ McKanas,34,Boston,MA,Cagayan,9,7,1,8,25,8,Male,Horse Trainer,28,1,1
Jeremiah Wood,34,Dobson,NC,Cagayan,8,5,3,8,28,9,Male,Male Model,28,NA,NA
Jefra Bland,22,Campbellsville,KY,Cagayan,7,7,2,9,30,9,Female,Pageant Winner,28,NA,NA
Tasha Fox,37,St. Louis,MO,Cagayan,6,2,4,6,33,4,Female,Accountant,28,NA,NA
Trish Hegarty,48,Needham,MA,Cagayan,5,8,0,8,36,5,Female,Pilates Trainer,28,NA,NA
Spencer Bledsoe,21,Chicago,IL,Cagayan,4,2,7,9,37,8,Male,Economics Student,28,1,1
Kass McQuillen,41,Tehachapi,CA,Cagayan,3rd,2,2,4,38,2,Female,Attorney,28,NA,NA
Woo Hwang,29,Newport Beach,CA,Cagayan,2,8,3,11,39,4,Male,Martial Arts Instructor,28,NA,NA
Tony Vlachos,39,Jersey City,NJ,Cagayan,1,8,2,10,39,5,Male,Police Officer,28,3,2
Nadiya Anderson,28,Edgewater,NJ,San Juan del Sur,18,0,NA,0,3,5,Female,Crossfit Coach/Project Coordinator,29,NA,NA
Val Collins,35,Foxboro,MA,San Juan del Sur,17,0,NA,0,6,9,Female,Foxboro Police Officer,29,NA,NA
John Rocker,39,Atlanta,GA,San Juan del Sur,16,1,NA,1,8,5,Male,Former MLB Player,29,1,0
Drew Christy,25,Winter Park,FL,San Juan del Sur,15,6,NA,6,10,5,Male,Traveling Sales Representative,29,NA,NA
Kelley Wentworth,28,Seattle,WA,San Juan del Sur,14,6,NA,6,13,4,Female,Marketing Manager,29,NA,NA
Dale Wentworth,55,Ephrata,WA,San Juan del Sur,13,2,NA,2,15,8,Male,Farmer,29,NA,NA
Julie McGee,34,Atlanta,GA,San Juan del Sur,12,9,0,9,18,2,Female,Model/Owner of Spray Tan Business,29,NA,NA
Josh Canfield,32,New York City,NY,San Juan del Sur,11,5,0,5,21,6,Male,Singer/Actor/Writer,29,NA,NA
Jeremy Collins,36,Foxboro,MA,San Juan del Sur,10,9,3,12,24,5,Male,Cambridge Firefighter,29,NA,NA
Wes Nale,23,Shreveport,LA,San Juan del Sur,9,5,1,6,26,2,Male,Firefighter,29,NA,NA
Reed Kelly,31,New York City,NY,San Juan del Sur,8,9,4,13,29,10,Male,Broadway Performer/Model/Aerialist,29,NA,NA
Alec Christy,22,Winter Park,FL,San Juan del Sur,7,5,2,7,32,4,Male,Student,29,NA,NA
Jon Misch,26,Waterford,MI,San Juan del Sur,6,6,3,9,35,8,Male,Financial Assistant,29,2,1
Baylor Wilson,20,Nashville,TN,San Juan del Sur,5,2,2,4,37,17,Female,Student,29,NA,NA
Keith Nale,53,Shreveport,LA,San Juan del Sur,4,6,6,12,38,16,Male,Fire Captain,29,1,1
Missy Payne,47,Dallas,TX,San Juan del Sur,3,6,1,7,39,3,Female,Competitive Cheerleading Gym Owner,29,NA,NA
Jaclyn Schultz,25,Las Vegas,NV,San Juan del Sur,2,2,2,4,39,6,Female,Media Buyer,29,NA,NA
Natalie Anderson,28,Edgewater,NJ,San Juan del Sur,1,9,4,13,39,0,Female,Crossfit Coach/Physical Therapy Student,29,1,1
So Kim,31,Long Beach,CA,Worlds Apart,18,0,NA,0,3,4,Female,Retail Buyer,30,NA,NA
Vince Sly,32,Santa Monica,CA,Worlds Apart,17,1,NA,1,6,3,Male,Coconut Vendor,30,NA,NA
Nina Poersch,51,Palmdale,CA,Worlds Apart,16,1,NA,1,8,4,Female,Hearing Advocate,30,NA,NA
Lindsey Cascaddan,24,College Park,FL,Worlds Apart,15,3,NA,3,11,5,Female,Hairdresser,30,NA,NA
Max Dawson,37,Topanga,CA,Worlds Apart,14,4,NA,4,14,5,Male,Media Consultant,30,NA,NA
Joaquin Souberbielle,27,Valley Stream,NY,Worlds Apart,13,6,NA,6,16,4,Male,Marketing Director,30,NA,NA
Kelly Remington,44,Grand Island,NY,Worlds Apart,12,5,0,5,19,4,Female,State Trooper,30,NA,NA
Hali Ford,25,San Francisco,CA,Worlds Apart,11,5,0,5,22,8,Female,Law Student,30,NA,NA
Joe Anglim,25,Scottsdale,AZ,Worlds Apart,10,5,3,8,24,8,Male,Jewelry Designer,30,NA,NA
Jenn Brown,22,Long Beach,CA,Worlds Apart,9,5,0,5,27,18,Female,Sailing Instructor,30,1,1
Shirin Oskooi,31,San Francisco,CA,Worlds Apart,8,6,1,7,29,7,Female,Yahoo! Executive,30,NA,NA
Tyler Fredrickson,33,Los Angeles,CA,Worlds Apart,7,6,3,9,32,5,Male,Ex-Talent Agent Assistant,30,NA,NA
Dan Foley,47,Gorham,ME,Worlds Apart,6,5,2,7,35,9,Male,Postal Worker,30,NA,NA
Sierra Dawn Thomas,27,Roy,UT,Worlds Apart,5,5,2,7,37,6,Female,Barrel Racer,30,NA,NA
Rodney Lavoie Jr.,24,Boston,MA,Worlds Apart,4,5,0,5,38,5,Male,General Contractor,30,NA,NA
Carolyn Rivera,52,Tampa,FL,Worlds Apart,2,6,5,11,39,10,Female,Corporate Executive,30,1,1
Will Sims II,41,Sherman Oaks,CA,Worlds Apart,2,5,2,7,39,4,Male,YouTube Sensation,30,NA,NA
Mike Holloway,38,North Richland Hills,TX,Worlds Apart,1,5,9,14,39,4,Male,Oil Driller,30,1,1
Vytas Baskauskas,35,Santa Monica,CA,Cambodia,20,1,NA,1,3,6,Male,Yoga Instructor/Math Professor,31,NA,NA
Shirin Oskooi,32,San Francisco,CA,Cambodia,19,1,NA,1,6,5,Female,Yahoo! Executive,31,NA,NA
Peih-Gee Law,37,San Francisco,CA,Cambodia,18,1,NA,1,9,4,Female,Jeweler,31,NA,NA
Jeff Varner,49,Greensboro,NC,Cambodia,17,2,NA,2,11,4,Male,Internet Projects Manager,31,NA,NA
Monica Padilla,30,Queens,NY,Cambodia,16,4,NA,4,13,3,Female,Law Student,31,NA,NA
Terry Deitz,55,Simsbury,CT,Cambodia,15,6,NA,6,13,0,Male,Pilot,31,NA,NA
Woo Hwang,31,Newport Beach,CA,Cambodia,14,5,NA,5,16,5,Male,Martial Arts Instructor,31,NA,NA
Kass McQuillen,43,Tehachapi,CA,Cambodia,13,8,0,8,19,6,Female,Attorney,31,NA,NA
Andrew Savage,51,San Jose,CA,Cambodia,12,6,0,6,21,4,Male,Attorney,31,NA,NA
Kelly Wiglesworth,37,Greensboro,NC,Cambodia,11,4,1,5,24,8,Female,River Guide,31,NA,NA
Ciera Eastin,26,Salem,OR,Cambodia,10,8,3,11,26,10,Female,Cosmetology Student,31,NA,NA
Stephen Fishbach,36,New York City,NY,Cambodia,9,5,2,7,29,9,Male,Corporate Consultant,31,NA,NA
Joe Anglim,26,Scottsdale,AZ,Cambodia,8,8,7,15,32,8,Male,Jewelry Designer,31,NA,NA
Abi-Maria Gomes,35,Los Angeles,CA,Cambodia,7,5,1,6,35,14,Female,Business Student,31,NA,NA
Kimmi Kappenberg,42,The Woodlands,TX,Cambodia,6,5,1,6,36,5,Female,Bartender,31,NA,NA
Keith Nale,54,Keithville,LA,Cambodia,5,8,3,11,37,4,Male,Fire Captain,31,NA,NA
Kelley Wentworth,29,Seattle,WA,Cambodia,4,7,4,11,38,17,Female,Marketing Manager,31,2,2
Spencer Bledsoe,23,Chicago,IL,Cambodia,2,4,5,9,39,11,Male,Economics Student,31,NA,NA
Tasha Fox,39,St. Louis,MO,Cambodia,2,5,2,7,39,8,Female,Accountant,31,NA,NA
Jeremy Collins,37,Foxboro,MA,Cambodia,1,5,1,6,39,3,Male,Cambridge Firefighter,31,2,2
Darnell Hamilton,27,Chicago,IL,Kaôh Rōng,18,0,NA,0,3,7,Male,Postal Worker,32,NA,NA
Jennifer Lanzetti,38,Salt Lake City,UT,Kaôh Rōng,17,0,NA,0,6,3,Female,Contractor,32,NA,NA
Liz Markham,27,New York City,NY,Kaôh Rōng,16,2,NA,2,8,5,Female,Quantitative Strategist,32,NA,NA
Caleb Reynolds,28,Hopkinsville,KY,Kaôh Rōng,15,4,NA,4,9,NA,Male,Army Veteran,32,NA,NA
Alecia Holden,24,Dallas,TX,Kaôh Rōng,14,1,NA,1,11,8,Female,Real Estate Agent,32,NA,NA
Anna Khait,26,Brooklyn,NY,Kaôh Rōng,13,5,NA,5,13,5,Female,Pro Poker Player,32,NA,NA
Peter Baggenstos,34,Minneapolis,MN,Kaôh Rōng,12,5,NA,5,16,7,Male,ER Doctor,32,NA,NA
Neal Gottlieb,38,Sausalito,CA,Kaôh Rōng,11,6,0,6,19,0,Male,Ice Cream Entrepreneur,32,1,0
Nick Maiorano,30,Redondo Beach,CA,Kaôh Rōng,10,7,2,9,22,6,Male,Personal Trainer,32,NA,NA
Debbie Wanner,49,Reading,PA,Kaôh Rōng,9,6,1,7,24,5,Female,Chemist,32,NA,NA
Scot Pollard,40,Carmel,IN,Kaôh Rōng,8,2,2,4,27,7,Male,Former NBA Champion,32,0,0
Julia Sokolowski,19,Boston,MA,Kaôh Rōng,7,6,4,10,29,7,Female,College Student,32,NA,NA
Kyle Jason,31,Detroit,MI,Kaôh Rōng,6,3,3,6,32,5,Male,Bounty Hunter,32,1,0
Joe del Campo,72,Vero Beach,FL,Kaôh Rōng,5,5,1,6,34,1,Male,Former FBI Agent,32,NA,NA
Cydney Gillon,23,Douglasville,GA,Kaôh Rōng,4,3,2,5,37,5,Female,Bodybuilder,32,NA,NA
Tai Trang,51,San Francisco,CA,Kaôh Rōng,3,6,5,11,39,4,Male,Gardener,32,1,0
Aubry Bracco,29,Cambridge,MA,Kaôh Rōng,2,5,1,6,39,8,Female,Social Media Marketer,32,NA,NA
Michele Fitzgerald,24,Freehold,NJ,Kaôh Rōng,1,7,6,13,39,2,Female,Bartender,32,NA,NA
Rachel Ako,37,Los Angeles,CA,Millennials vs. Gen X,20,0,NA,0,4,5,Female,Recruiting Director,33,NA,NA
Mari Takahashi,31,Los Angeles,CA,Millennials vs. Gen X,19,1,NA,1,7,7,Female,Gamer,33,NA,NA
Paul Wachter,52,Sugarloaf Key,FL,Millennials vs. Gen X,18,1,NA,1,10,6,Male,Boat Mechanic,33,NA,NA
Lucy Huang,42,Diamond Bar,CA,Millennials vs. Gen X,17,2,NA,2,12,2,Female,Dietician,33,NA,NA
CeCe Taylor,39,Granada Hills,CA,Millennials vs. Gen X,16,2,NA,2,15,11,Female,Insurance Adjuster,33,NA,NA
Figgy Figueroa,23,Nashville,TN,Millennials vs. Gen X,15,4,NA,4,18,6,Female,Bartender,33,NA,NA
Michaela Bradshaw,25,Fort Worth,TX,Millennials vs. Gen X,14,7,NA,7,20,4,Female,Vacation Club Sales,33,NA,NA
Michelle Schubert,28,Yakima,WA,Millennials vs. Gen X,13,7,0,7,23,10,Female,Missionary Recruiter,33,NA,NA
Taylor Stocker,24,Post Falls,ID,Millennials vs. Gen X,12,5,1,6,25,7,Male,Snowboard Instructor,33,NA,NA
Chris Hammons,38,Moore,OK,Millennials vs. Gen X,11,6,1,7,28,7,Male,Trial Lawyer,33,NA,NA
Jessica Lewis,37,Voorheesville,NY,Millennials vs. Gen X,10,4,0,4,30,9,Female,Assistant District Attorney,33,1,0
Zeke Smith,28,Brooklyn,NY,Millennials vs. Gen X,9,7,2,9,33,14,Male,Asset Manager,33,NA,NA
Will Wahl,18,Long Valley,NJ,Millennials vs. Gen X,8,7,1,8,34,6,Male,High-School Student,33,NA,NA
Sunday Burquest,45,Otsego,MN,Millennials vs. Gen X,7,6,3,9,35,5,Female,Youth Pastor,33,NA,NA
Jay Starrett,27,Fort Lauderdale,FL,Millennials vs. Gen X,6,7,3,10,36,10,Male,Real Estate Agent,33,1,1
Bret LaBelle,42,Dedham,MA,Millennials vs. Gen X,5,6,3,9,37,5,Male,Police Sergeant,33,NA,NA
David Wright,42,Sherman Oaks,CA,Millennials vs. Gen X,4,6,3,9,38,10,Male,Television Writer,33,2,2
Hannah Shapiro,24,West Hollywood,CA,Millennials vs. Gen X,2,7,1,8,39,13,Female,Barista,33,NA,NA
Ken McNickle,33,Denver,CO,Millennials vs. Gen X,2,4,5,9,39,3,Male,Model,33,0,1
Adam Klein,25,San Francisco,CA,Millennials vs. Gen X,1,5,2,7,39,6,Male,Homeless Shelter Manager,33,2,2
Ciera Eastin,27,Salem,OR,Game Changers,20,0,NA,0,3,9,Female,Cosmetology Student,34,NA,NA
Tony Vlachos,42,Jersey City,NJ,Game Changers,19,0,NA,0,6,7,Male,Police Officer,34,NA,NA
Caleb Reynolds,28,Hopkinsville,KY,Game Changers,18,0,NA,0,9,5,Male,Army Veteran,34,NA,NA
Malcolm Freberg,29,Hermosa Beach,CA,Game Changers,17,2,NA,2,11,5,Male,Bartender,34,NA,NA
J.T. Thomas,31,Mobile,AL,Game Changers,16,6,NA,6,13,3,Male,Cattle Rancher,34,1,0
Sandra Diaz-Twine,41,Fayetteville,NC,Game Changers,15,3,NA,3,16,5,Female,Office Assistant,34,NA,NA
Jeff Varner,50,High Point,NC,Game Changers,14,4,NA,4,18,6,Male,Internet Projects Manager,34,NA,NA
Hali Ford,26,Knoxville,TN,Game Changers,13,4,0,4,21,8,Female,Law Student,34,NA,NA
Ozzy Lusth,34,Venice,CA,Game Changers,12,8,1,9,24,7,Male,"Waiter;
Photographer",34,NA,NA
Debbie Wanner,51,Reading,PA,Game Changers,11,6,2,8,26,6,Female,Chemist,34,NA,NA
Zeke Smith,28,Brooklyn,NY,Game Changers,10,8,2,10,29,11,Male,Asset Manager,34,NA,NA
Sierra Dawn Thomas,29,Roy,UT,Game Changers,9,7,1,8,32,15,Female,Barrel Racer,34,NA,NA
Andrea Boehlke,27,New York City,NY,Game Changers,8,8,6,14,33,14,Female,"Student;
Entertainment Host/Writer",34,NA,NA
Michaela Bradshaw,25,Fort Worth,TX,Game Changers,7,5,0,5,35,11,Female,Vacation Club Sales,34,NA,NA
Cirie Fields,45,Norwalk,CT,Game Changers,6,9,0,9,36,0,Female,Nurse,34,NA,NA
Aubry Bracco,30,Cambridge,MA,Game Changers,5,5,4,9,37,9,Female,Social Media Marketer,34,NA,NA
Tai Trang,52,San Francisco,CA,Game Changers,4,6,2,8,38,12,Male,Gardener,34,3,3
Troyzan Robertson,54,Miami,FL,Game Changers,3,6,2,8,39,2,Male,Swimsuit Photographer,34,1,1
Brad Culpepper,47,Tampa,FL,Game Changers,2,7,8,15,39,2,Male,Attorney/Former NFL Player,34,NA,NA
Sarah Lacina,32,Marion,IA,Game Changers,1,8,1,9,39,3,Female,Police Officer,34,0,1
Katrina Radke,46,Excelsior,MN,Heroes vs. Healers vs. Hustlers,18,1,NA,1,3,5,Female,Olympian,35,NA,NA
Simone Nguyen,25,New York City,NY,Heroes vs. Healers vs. Hustlers,17,1,NA,1,6,5,Female,Diversity Advocate,35,NA,NA
Patrick Bolton,24,Auburn,AL,Heroes vs. Healers vs. Hustlers,16,1,NA,1,8,5,Male,Small Business Owner,35,NA,NA
Alan Ball,32,Houston,TX,Heroes vs. Healers vs. Hustlers,15,3,NA,3,11,2,Male,NFL Player,35,NA,NA
Roark Luskin,27,Santa Monica,CA,Heroes vs. Healers vs. Hustlers,14,5,NA,5,14,3,Female,Social Worker,35,NA,NA
Ali Elliott,24,Los Angeles,CA,Heroes vs. Healers vs. Hustlers,13,3,NA,3,16,3,Female,Celebrity Assistant,35,NA,NA
Jessica Johnston,29,Louisville,KY,Heroes vs. Healers vs. Hustlers,12,10,0,10,19,7,Female,Nurse Practitioner,35,NA,NA
Desi Williams,27,Newport News,VA,Heroes vs. Healers vs. Hustlers,11,7,1,8,21,11,Female,Phyiscal Therapist,35,NA,NA
Cole Medders,24,Little Rock,AR,Heroes vs. Healers vs. Hustlers,10,10,3,13,24,7,Male,Wilderness Therapy Guide,35,NA,NA
JP Hilsabeck,28,Los Angeles,CA,Heroes vs. Healers vs. Hustlers,9,5,2,7,27,6,Male,Firefighter,35,NA,NA
Joe Mena,34,Tolland,CT,Heroes vs. Healers vs. Hustlers,8,7,2,9,30,12,Male,Probation Officer,35,2,2
Lauren Rimmer,35,Beauford,NC,Heroes vs. Healers vs. Hustlers,7,7,2,9,33,3,Female,Fisherman,35,1,0
Ashley Nolan,26,Satellite Beach,FL,Heroes vs. Healers vs. Hustlers,6,6,3,9,36,8,Female,Lifeguard,35,NA,NA
Mike Zahalsky,43,Parkland,FL,Heroes vs. Healers vs. Hustlers,5,10,1,11,37,9,Male,Urologist,35,1,1
Devon Pinto,23,Solana Beach,CA,Heroes vs. Healers vs. Hustlers,4,4,3,7,38,2,Male,Surf Instructor,35,NA,NA
Ryan Ulrich,23,North Arlington,NJ,Heroes vs. Healers vs. Hustlers,3,3,1,4,39,2,Male,Bellhop,35,2,1
Chrissy Hofbeck,46,Lebanon Township,NJ,Heroes vs. Healers vs. Hustlers,2,5,8,13,39,7,Female,Actuary,35,0,0
Ben Driebergen,34,Boise,ID,Heroes vs. Healers vs. Hustlers,1,9,1,10,39,11,Male,Marine,35,3,3
Stephanie Gonzalez,26,Ocala,FL,Ghost Island,20,1,NA,1,3,8,Female,Graphic Sales,36,NA,NA
Jacob Derwin,22,Brooklyn,NY,Ghost Island,19,1,NA,1,6,5,Male,Music Teacher,36,1,0
Morgan Ricke,29,Orlando,FL,Ghost Island,18,2,NA,2,9,4,Female,Marine Animal Trainer,36,0,0
Brendan Shapiro,41,Herndon,VA,Ghost Island,17,2,NA,2,12,5,Male,Physical Education Teacher,36,NA,NA
Stephanie Johnson,34,Chicago,IL,Ghost Island,16,2,NA,2,14,7,Female,Yoga Instructor,36,NA,NA
James Lim,24,New York City,NY,Ghost Island,15,5,NA,5,17,6,Male,Business Analyst,36,NA,NA
Bradley Kleihege,26,Los Angeles,CA,Ghost Island,14,5,NA,5,19,8,Male,Law Student,36,NA,NA
Chris Noble,27,Brooklyn,NY,Ghost Island,13,9,0,9,22,10,Male,Male Model,36,1,0
Libby Vincek,24,Houston,TX,Ghost Island,12,7,1,8,25,8,Female,Social Media Strategist,36,NA,NA
Desiree Afuye,21,Brooklyn,NY,Ghost Island,11,4,0,4,27,10,Female,Student,36,NA,NA
Jenna Bowman,23,Venice Beach,CA,Ghost Island,10,5,1,6,29,3,Female,Advertising Account Executive,36,NA,NA
Michael Yerger,18,Los Angeles,CA,Ghost Island,9,3,1,4,29,15,Male,Real Estate Agent,36,2,2
Chelsea Townsend,25,Los Angeles,CA,Ghost Island,8,5,4,9,32,5,Female,EMT/Pro Cheerleader,36,NA,NA
Kellyn Bechtold,31,Denver,CO,Ghost Island,7,4,2,6,35,8,Female,Career Counselor,36,NA,NA
Sebastian Noel,22,Satellite Beach,FL,Ghost Island,6,6,2,8,36,5,Male,Fishing Guide,36,NA,NA
Donathan Hurley,26,Kimper,KY,Ghost Island,5,7,1,8,37,11,Male,Caretaker,36,1,1
Angela Perkins,42,Cincinnati,OH,Ghost Island,4,7,2,9,38,3,Female,Army Veteran,36,NA,NA
Laurel Johnson,29,Minneapolis,MN,Ghost Island,3,8,2,10,39,3,Female,Financial Consultant,36,NA,NA
Domenick Abbate,38,Nesconset,NY,Ghost Island,2,8,4,12,39,2,Male,Construction Supervisor,36,1,1
Domenick Abbate,38,Nesconset,NY,Ghost Island,2,8,4,12,39,2,Male,Construction Supervisor,36,0,1
Wendell Holland,33,Philadelphia,PA,Ghost Island,1,9,4,13,39,5,Male,Furniture Company Owner,36,1,1
Pat Cusack,40,Watervliet,NY,David vs. Goliath,20,1,NA,1,3,NA,Male,Maintenance Manager,37,NA,NA
Jessica Peet,19,Lakeland,FL,David vs. Goliath,19,1,NA,1,6,5,Female,Waitress,37,NA,NA
Jeremy Crawford,40,New York City,NY,David vs. Goliath,18,2,NA,2,9,9,Male,Attorney,37,NA,NA
Bi Nguyen,28,Houston,TX,David vs. Goliath,17,2,NA,2,10,0,Female,MMA Fighter,37,NA,NA
Natalia Azoqa,25,Irvine,CA,David vs. Goliath,16,2,NA,2,11,3,Female,Industrial Engineer,37,NA,NA
Natalie Cole,57,Los Angeles,CA,David vs. Goliath,15,4,NA,4,15,4,Female,Publishing CEO,37,NA,NA
Lyrsa Torres,36,Boston,MA,David vs. Goliath,14,5,NA,5,17,9,Female,Airline Agent,37,NA,NA
Elizabeth Olson,31,Longview,TX,David vs. Goliath,13,5,0,5,20,13,Female,Kitchen Staff,37,NA,NA
John Hennigan,38,Los Angeles,CA,David vs. Goliath,12,6,1,7,22,3,Male,Pro Wrestler,37,NA,NA
Dan Rengering,27,Gainesville,FL,David vs. Goliath,11,6,2,8,25,6,Male,S.W.A.T. Officer,37,2,2
Alec Merlino,24,San Clemente,CA,David vs. Goliath,10,5,4,9,28,9,Male,Bartender,37,NA,NA
Carl Boudreaux,41,Houston,TX,David vs. Goliath,9,5,1,6,30,6,Male,Truck Driver,37,NA,NA
Gabby Pascuzzi,25,Denver,CO,David vs. Goliath,8,6,2,8,32,2,Female,Technical Writer,37,NA,NA
Alison Raybould,28,Chapel Hill,NC,David vs. Goliath,5,6,3,9,37,18,Female,Physician,37,NA,NA
Angelina Keeley,28,San Clemente,CA,David vs. Goliath,3,5,3,8,39,6,Female,Financial Consultant,37,1,1
Christian Hubicki,32,Tallahassee,FL,David vs. Goliath,7,6,3,9,35,13,Male,Robotics Scientist,37,1,1
Davie Rickenbacker,30,Atlanta,GA,David vs. Goliath,6,5,5,10,36,0,Male,Social Media Manager,37,2,2
Kara Kay,30,San Diego,CA,David vs. Goliath,4,5,4,9,38,6,Female,Realtor,37,NA,NA
Mike White,47,Los Angeles,CA,David vs. Goliath,2,5,6,11,39,1,Male,Filmmaker,37,NA,NA
Nick Wilson,27,Williamsburg,KY,David vs. Goliath,1,5,6,11,39,0,Male,Public Defender,37,1,1
