contestant,age,city,state_abbr,season.x,finish,tribalChallengeWins,individualChallengeWins,totalWins,daysLasted,votesAgainst,gender,occupation,season_number,idols_found,idols_played
Roger Sexton,56,Valencia,CA,The Amazon,10,5,0,5,21,11,Male,Construction Company V.P.,6,NA,NA
Dave Johnson,23,Pasadena,CA,The Amazon,9,5,1,6,24,8,Male,Rocket Scientist,6,NA,NA
Deena Bennett,35,Riverside,CA,The Amazon,8,5,1,6,27,6,Female,Deputy District Attorney,6,NA,NA
Alex Bell,32,Los Angeles,CA,The Amazon,7,4,1,5,30,6,Male,Triathlon Coach,6,NA,NA
Christy Smith,24,Basalt,CO,The Amazon,6,6,0,6,33,9,Female,Children's Adventure Guide,6,NA,NA
Heidi Strobel,24,Jefferson City,MO,The Amazon,5,6,0,6,36,3,Female,Gym Teacher,6,NA,NA
Butch Lockley,50,Olney,IL,The Amazon,4,5,0,5,37,5,Male,Principal,6,NA,NA
Rob Cesternino,24,Wantagh,NY,The Amazon,3rd,4,1,5,38,4,Male,Computer Projects Coordinator,6,NA,NA
Matthew von Ertfelda,33,Washington,D.C.,The Amazon,2,4,4,8,39,6,Male,Restaurant Designer,6,NA,NA
Jenna Morasca,21,Bridgeville,PA,The Amazon,1,5,4,9,39,3,Female,Swimsuit Model,6,NA,NA
Nicole Delma,24,Hermosa Beach,CA,Pearl Islands,16,1,NA,1,4,7,Female,Massage Therapist,7,NA,NA
Ryan Shoulders,23,Clarksville,TN,Pearl Islands,15,1,NA,1,7,6,Male,Produce Clerk,7,NA,NA
Michelle Tesauro,22,Washington,D.C.,Pearl Islands,14,7,NA,7,16,6,Female,Student,7,NA,NA
Trish Dunn,42,Annapolis,MD,Pearl Islands,13,8,NA,8,19,4,Female,Sales Executive,7,NA,NA
Shawn Cohen,28,Los Angeles,CA,Pearl Islands,12,7,NA,7,19,5,Male,Advertising Sales,7,NA,NA
Osten Taylor,27,Boston,MA,Pearl Islands,11,4,NA,4,19,2,Male,Equity Trade Manager,7,NA,NA
Andrew Savage,39,Chicago,IL,Pearl Islands,10,4,0,4,21,6,Male,Attorney,7,NA,NA
Ryan Opray,30,Los Gatos,CA,Pearl Islands,9,4,1,5,24,8,Male,Electrician,7,NA,NA
Rupert Boneham,39,Indianapolis,IN,Pearl Islands,8,7,3,10,27,7,Male,Troubled Teens Mentor,7,NA,NA
Tijuana Bradley,26,St. Louis,MO,Pearl Islands,7,4,1,5,30,5,Female,Pharmaceutical Sales,7,NA,NA
Christa Hastie,24,Los Angeles,CA,Pearl Islands,6,7,1,8,33,7,Female,Computer Programmer,7,NA,NA
Burton Roberts,31,San Francisco,CA,Pearl Islands,5,7,5,12,30,10,Male,Marketing Executive,7,NA,NA
Darrah Johnson,22,Liberty,MS,Pearl Islands,4,4,4,8,37,6,Female,Mortician,7,NA,NA
Jon Dalton,29,Los Angeles,CA,Pearl Islands,3rd,7,2,9,38,7,Male,Art Consultant,7,NA,NA
Lillian Morris,51,Loveland,OH,Pearl Islands,2,1,3,4,30,10,Female,Scout Troop Leader,7,NA,NA
Sandra Diaz-Twine,28,Fort Lewis,WA,Pearl Islands,1,7,0,7,39,0,Female,Office Assistant,7,NA,NA
Tina Wesson,42,Knoxville,TN,All-Stars,18,0,NA,0,3,4,Female,Personal Nurse; Motivational Speaker,8,NA,NA
